iter	Passed	Remaining
379	1359	1144
380	1362	1140
381	1365	1136
382	1368	1132
383	1371	1128
384	1374	1124
385	1380	1122
386	1383	1118
387	1386	1114
388	1390	1111
389	1397	1110
390	1400	1106
391	1403	1102
392	1405	1098
393	1411	1095
394	1414	1091
395	1417	1088
396	1420	1084
397	1424	1080
398	1427	1076
399	1430	1073
400	1434	1069
401	1436	1065
402	1441	1062
403	1444	1058
404	1447	1054
405	1450	1050
406	1454	1046
407	1458	1043
408	1461	1039
409	1464	1035
410	1467	1031
411	1470	1028
412	1474	1024
413	1477	1020
414	1480	1016
415	1484	1013
416	1488	1009
417	1491	1006
418	1495	1002
419	1499	999
420	1507	999
421	1511	995
422	1515	992
423	1533	998
424	1537	994
425	1540	991
426	1544	987
427	1548	984
428	1551	980
429	1555	976
430	1558	972
431	1561	968
432	1564	964
433	1567	960
