iter	RMSE
530	1535.546213
531	1535.13008
532	1533.956521
533	1533.370306
534	1532.704616
535	1532.594469
536	1532.475641
537	1531.943934
538	1531.937738
539	1531.933703
540	1530.960233
541	1530.484462
542	1529.952463
543	1529.167839
544	1528.531054
545	1528.100395
546	1527.536099
547	1526.956445
548	1526.300922
549	1525.766775
550	1525.234359
551	1524.950298
552	1524.074094
553	1523.968078
554	1522.83856
555	1522.3386
556	1521.954798
557	1521.497354
558	1520.635881
559	1520.005856
560	1519.997922
561	1519.993904
562	1519.376499
563	1518.723098
564	1517.927745
565	1517.613455
566	1517.142092
567	1517.138576
568	1516.936859
569	1516.239246
570	1515.935427
571	1515.245679
572	1514.693869
573	1514.035616
574	1513.31493
575	1512.469139
576	1511.845391
577	1510.886364
578	1510.217553
579	1509.818189
580	1509.601361
581	1509.129432
582	1508.543019
583	1507.98867
584	1507.490234
585	1507.042029
586	1506.028889
587	1505.555531
588	1505.160034
589	1504.227715
590	1503.591483
591	1503.222258
592	1502.865008
593	1502.488446
594	1501.363648
595	1501.049076
596	1500.561358
597	1500.094886
598	1499.191162
599	1499.187824
600	1498.856589
601	1498.853876
602	1498.76442
603	1498.258374
604	1497.620042
605	1497.181846
606	1496.795858
607	1496.074086
608	1495.876645
609	1495.527337
610	1495.421198
611	1494.823596
612	1494.820247
613	1493.891521
614	1493.695046
615	1493.509562
616	1493.175185
617	1492.691775
618	1492.507201
619	1492.417461
620	1492.106603
621	1491.362601
622	1490.770887
623	1490.436269
624	1489.921571
625	1488.851822
626	1488.206566
627	1487.673388
628	1486.459928
629	1486.088498
630	1485.726265
631	1485.012661
632	1484.062435
633	1483.136187
634	1482.689015
635	1482.318941
636	1481.865963
637	1481.452861
638	1481.30156
639	1480.660319
640	1480.100391
641	1479.791054
642	1479.469427
643	1479.086705
644	1478.876556
645	1478.344537
646	1477.802932
647	1477.267612
648	1476.824949
649	1476.425855
650	1476.190145
651	1475.759147
652	1475.277944
653	1474.461109
654	1474.094853
655	1473.766262
656	1473.570796
657	1473.298425
658	1472.771753
659	1472.26733
660	1471.855386
661	1471.692447
662	1471.146203
663	1470.720853
664	1470.52718
665	1469.996932
666	1469.543857
667	1469.217606
668	1468.690513
669	1468.42654
670	1468.087161
671	1467.288979
672	1466.921361
673	1466.505197
674	1466.059346
675	1465.600923
676	1465.118454
677	1464.296127
678	1464.248931
679	1464.043325
680	1463.960682
681	1463.760252
682	1463.258471
683	1462.92186
684	1462.754414
685	1462.277404
686	1462.100249
687	1461.587873
688	1461.071382
689	1460.625592
690	1460.254389
691	1459.886364
692	1459.535252
693	1459.199646
694	1458.987892
695	1458.53169
696	1458.118661
697	1457.79353
698	1457.480297
699	1457.146667
